gold_node_token,ud_node_token,ud_node_lemma,ud_node_upos,ud_node_xpos
speaker,now,,,
now,speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
person.n.01,time.n.08,gek,ADJ,ADJ|vrij|basis|zonder
time.n.08,person.n.01,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
cake.n.03,taart.n.01,taart,NOUN,N|soort|ev|basis|zijd|stan
"""General Dynamics""",now,,,
company.n.01,time.n.08,verliezen,VERB,WW|pv|tgw|met-t
time.n.08,female.n.02,General,PROPN,SPEC|deeleigen
measure.n.02,miljoen.n.01,miljoen,NOUN,N|soort|ev|basis|onz|stan
now,General,General,PROPN,SPEC|deeleigen
374000000,374,374,NOUN,TW|hoofd|prenom|stan
dollar.n.01,dollar.n.01,dollar,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,lerares,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
now,now,,,
female.n.02,sigaret.n.01,sigaret,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,roken,VERB,WW|pv|verl|ev
cigarette.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
person.n.01,time.n.08,allergisch,ADJ,ADJ|vrij|basis|zonder
fish.n.02,vis.n.01,vis,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,lachen,VERB,WW|pv|verl|ev
person.n.01,time.n.08,gaan,VERB,WW|pv|verl|ev
station.n.01,station.n.01,station,NOUN,N|soort|ev|basis|onz|stan
?,now,,,
group.n.01,time.n.08,horen,VERB,WW|pv|verl|ev
time.n.08,groep.n.01,groep,NOUN,N|soort|ev|basis|zijd|stan
male.n.02,female.n.02,John,PROPN,SPEC|deeleigen
"""John Lennon""",John,John,PROPN,SPEC|deeleigen
"""GUS""",now,,,
company.n.01,time.n.08,verkopen,VERB,WW|pv|verl|ev
time.n.08,female.n.02,GUS,PROPN,N|eigen|ev|basis|zijd|stan
company.n.01,female.n.02,Wehkamp,PROPN,N|eigen|ev|basis|onz|stan
now,GUS,GUS,PROPN,N|eigen|ev|basis|zijd|stan
"""Wehkamp""",Wehkamp,Wehkamp,PROPN,N|eigen|ev|basis|onz|stan
male.n.02,bed..n.01,bed.,X,SPEC|afk
time.n.08,time.n.08,slapen,VERB,WW|pv|verl|ev
bed.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
boy.n.01,erg.a.01,erg,ADJ,ADJ|vrij|basis|zonder
time.n.08,time.n.08,slim,ADJ,ADJ|vrij|basis|zonder
very.r.01,jongen.n.01,jongen,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,bang,ADJ,ADJ|vrij|basis|zonder
death.n.01,dood.n.01,dood,NOUN,N|soort|ev|basis|zijd|stan
entity.n.01,person.n.01,het,PRON,VNW|pers|pron|stan|red|3|ev|onz
time.n.08,time.n.08,maken,VERB,WW|pv|tgw|met-t
speaker,Nagasaki,Nagasaki,PROPN,N|eigen|ev|basis|onz|stan
"""Nagasaki""",speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
person.n.01,female.n.02,Nagasaki,PROPN,N|eigen|ev|basis|onz|stan
city.n.01,person.n.01,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
time.n.08,time.n.08,gaan,VERB,WW|vd|vrij|zonder
"""Tom""",now,,,
male.n.02,time.n.08,hebben,VERB,WW|pv|tgw|met-t
time.n.08,female.n.02,Tom,PROPN,N|eigen|ev|basis|zijd|stan
dick.n.02,lul.n.01,lul,NOUN,N|soort|ev|basis|zijd|stan
now,Tom,Tom,PROPN,N|eigen|ev|basis|zijd|stan
large.a.01,enorm.a.01,enorm,ADJ,ADJ|prenom|basis|met-e|stan
"""Mary""",now,,,
female.n.02,time.n.08,dragen,VERB,WW|pv|tgw|met-t
time.n.08,female.n.02,Mary,PROPN,N|eigen|ev|basis|zijd|stan
dress.n.01,jurk.n.01,jurk,NOUN,N|soort|ev|basis|zijd|stan
now,Mary,Mary,PROPN,N|eigen|ev|basis|zijd|stan
plastic.n.01,plastic.n.01,plastic,ADJ,ADJ|prenom|basis|zonder
rain.n.01,regen.n.01,regen,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,duren,VERB,WW|pv|verl|ev
measure.n.02,dag.n.01,dag,NOUN,N|soort|mv|basis
day.n.01,vijf,vijf,NOUN,TW|hoofd|prenom|stan
male.n.02,laboratorium.n.01,laboratorium,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,werken,VERB,WW|pv|tgw|met-t
lab.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
person.n.01,gevangenis.n.01,gevangenis,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,weg_vluchten,VERB,WW|pv|verl|ev
prison.n.01,misdadiger.n.01,misdadiger,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,haten,VERB,WW|pv|tgw|ev
spinach.n.02,spinazie.n.01,spinazie,NOUN,N|soort|ev|basis|zijd|stan
